lat,lon,yaw,year,month
39.964664242,-75.1452073526,190.115,2014,06
40.0308106073,-75.1036919328,38.356,2014,06
40.0202064428,-75.1506371564,297.815,2014,06
40.0512733227,-75.2244702031,120.29,2014,06
40.0581550702,-75.2369653034,149.171,2014,05
40.083333098,-74.981623721,13.309,2014,07
40.018413082,-75.063670743,327.321,2014,05
40.0175758252,-75.1890386508,139.345,2014,06
40.0251653869,-75.1315092182,252.053,2014,06
40.0452143489,-75.1971424298,32.896,2014,05
40.0036041024,-75.1691112883,164.494,2014,05
39.9382359466,-75.1732638066,9.857,2014,05
40.0093772624,-75.1588818928,98.955,2014,05
39.914107057,-75.170633771,101.003,2014,05
39.9976479918,-75.1738774931,96.285,2014,05
